Firm Name,name,Cluster ID,Match Confidence
cofco international,cofco international,6,0.6954458951950073
vitol group,vitol group,2,0.6725156307220459
glencore,glencore,9,0.6612392663955688
gunvor group,gunvor group,1,0.657231330871582
olam agri / olam group,olam agri olam group,277,1.0
sinar mas group,sinar mas group,29,0.7175461649894714
trafigura,trafigura,0,0.6866288185119629
gunvor group,gunvor group,1,0.657231330871582
vitol group,vitol group,2,0.6725156307220459
cofco international,cofco international,6,0.6954458951950073
unipec singapore,unipec singapore,18,0.6734030842781067
trafigura group pte ltd,trafigura group  ,0,0.5653231739997864
trafigura,trafigura,0,0.6866288185119629
trafigura beheer bv / trafigura group pte ltd,trafigura beheer bv trafigura group  ,278,1.0
mercuria energy trading,mercuria energy trading,279,1.0
the daily cut pte ltd,the daily cut  ,280,1.0
new & novel engineering pte ltd,new novel engineering  ,281,1.0
vyas engineering pte ltd,vyas engineering  ,282,1.0
the prax group,the prax group,283,1.0
